Category	Frequency	Word	Decade
instruments	2.85211892014077e-06	harp	1890
instruments	2.6701645524864015e-06	harp	1900
instruments	2.14676055938083e-06	harp	1910
instruments	1.9066432114256044e-06	harp	1920
instruments	1.9507413667856478e-06	harp	1930
instruments	1.588598437481534e-06	harp	1940
instruments	1.350645479019895e-06	harp	1950
instruments	1.2603448080043427e-06	harp	1960
instruments	1.0511661611147994e-06	harp	1970
instruments	9.32713461511264e-07	harp	1980
instruments	8.369188462612546e-07	harp	1990
instruments	0.0	oboe	1800
instruments	0.0	oboe	1810
instruments	0.0	oboe	1820
instruments	4.417199337404037e-08	oboe	1830
instruments	1.7707322696924754e-08	oboe	1840
instruments	1.2892146232766069e-08	oboe	1850
instruments	1.1501303183133308e-08	oboe	1860
instruments	3.952071814835859e-08	oboe	1870
instruments	5.132570638220925e-08	oboe	1880
instruments	1.17041951202972e-07	oboe	1890
instruments	2.3321455730348714e-07	oboe	1900
instruments	3.305905220273396e-07	oboe	1910
instruments	3.9591667269187865e-07	oboe	1920
instruments	6.33094186488176e-07	oboe	1930
instruments	6.696647907974461e-07	oboe	1940
instruments	4.836694347623721e-07	oboe	1950
instruments	4.3696383902721164e-07	oboe	1960
instruments	4.1090855180939896e-07	oboe	1970
instruments	3.6795005495603735e-07	oboe	1980
instruments	3.055041898745317e-07	oboe	1990
instruments	2.8543009927472926e-08	tuba	1800
instruments	2.486573896204736e-08	tuba	1810
instruments	2.8343328075124457e-08	tuba	1820
instruments	1.2046907283829192e-08	tuba	1830
instruments	9.75709617993813e-09	tuba	1840
instruments	1.1602931609489463e-08	tuba	1850
instruments	3.1395449229634164e-08	tuba	1860
instruments	2.4700448842724117e-08	tuba	1870
instruments	3.369473854099233e-08	tuba	1880
instruments	2.803105554020758e-08	tuba	1890
instruments	2.021934370686301e-07	tuba	1900
instruments	3.9779769794013647e-07	tuba	1910
instruments	3.47701995923781e-07	tuba	1920
instruments	5.86831545378635e-07	tuba	1930
instruments	3.9429180421220335e-07	tuba	1940
instruments	2.581082376363796e-07	tuba	1950
instruments	1.7605080089499387e-07	tuba	1960
instruments	1.297364103066206e-07	tuba	1970
instruments	8.845543892098395e-08	tuba	1980
instruments	1.304841621833228e-07	tuba	1990
instruments	8.945379311270015e-06	bell	1800
instruments	9.543838994951734e-06	bell	1810
instruments	1.1442201543927743e-05	bell	1820
instruments	1.2138374542836043e-05	bell	1830
instruments	1.334553933055982e-05	bell	1840
instruments	1.5756007596912726e-05	bell	1850
instruments	1.7343654354133053e-05	bell	1860
instruments	1.8325392998779354e-05	bell	1870
instruments	1.916584154161619e-05	bell	1880
instruments	2.105443727242258e-05	bell	1890
instruments	2.0268285394564216e-05	bell	1900
instruments	1.781993253866919e-05	bell	1910
instruments	1.793879590792012e-05	bell	1920
instruments	1.6890724934664286e-05	bell	1930
instruments	1.5751368955722554e-05	bell	1940
instruments	1.5045011231329337e-05	bell	1950
instruments	1.3566775057717484e-05	bell	1960
instruments	1.457275333715689e-05	bell	1970
instruments	1.6691049905284552e-05	bell	1980
instruments	1.6653424896399587e-05	bell	1990
instruments	8.776975552697925e-07	fiddle	1800
instruments	8.233322456322349e-07	fiddle	1810
instruments	1.0260284763195054e-06	fiddle	1820
instruments	1.0333569359017929e-06	fiddle	1830
instruments	6.61314296640251e-07	fiddle	1840
instruments	8.854326032663737e-07	fiddle	1850
instruments	1.001235068996551e-06	fiddle	1860
instruments	7.602538149065823e-07	fiddle	1870
instruments	1.145425210751059e-06	fiddle	1880
instruments	1.2374645513042515e-06	fiddle	1890
instruments	1.1622414927832501e-06	fiddle	1900
instruments	8.795685410506331e-07	fiddle	1910
instruments	9.959730505461193e-07	fiddle	1920
instruments	8.81839691584404e-07	fiddle	1930
instruments	8.532467818542748e-07	fiddle	1940
instruments	6.763433784109701e-07	fiddle	1950
instruments	5.937161492251862e-07	fiddle	1960
instruments	5.514180367223545e-07	fiddle	1970
instruments	5.509217684277764e-07	fiddle	1980
instruments	5.660416957114758e-07	fiddle	1990
instruments	6.365091213826462e-07	harpsichord	1800
instruments	5.682281829475267e-07	harpsichord	1810
instruments	6.059803542461609e-07	harpsichord	1820
instruments	4.591210220392681e-07	harpsichord	1830
instruments	3.4185974023042486e-07	harpsichord	1840
instruments	3.437046185655434e-07	harpsichord	1850
instruments	2.595564367004409e-07	harpsichord	1860
instruments	2.535046065437475e-07	harpsichord	1870
instruments	3.9179928536037594e-07	harpsichord	1880
instruments	3.370283636881098e-07	harpsichord	1890
instruments	4.224310317240694e-07	harpsichord	1900
instruments	2.44324594736287e-07	harpsichord	1910
instruments	2.384463020935085e-07	harpsichord	1920
instruments	3.2132421379344277e-07	harpsichord	1930
instruments	3.5982752708071694e-07	harpsichord	1940
instruments	2.915625127254534e-07	harpsichord	1950
instruments	2.890300444457558e-07	harpsichord	1960
instruments	2.7499421720246306e-07	harpsichord	1970
instruments	2.468971487289871e-07	harpsichord	1980
instruments	2.8188994921527164e-07	harpsichord	1990
instruments	5.965489074841841e-07	piano	1800
instruments	1.032388643572411e-06	piano	1810
instruments	1.4421085324623323e-06	piano	1820
instruments	1.7677720984641205e-06	piano	1830
instruments	1.491751593732763e-06	piano	1840
instruments	1.8113465457036327e-06	piano	1850
instruments	2.944644460914103e-06	piano	1860
instruments	4.103654569312787e-06	piano	1870
instruments	4.549769201247365e-06	piano	1880
instruments	5.3447518473009825e-06	piano	1890
instruments	6.281467872257411e-06	piano	1900
instruments	7.099599836724107e-06	piano	1910
instruments	7.816649936807418e-06	piano	1920
instruments	9.652633020199786e-06	piano	1930
instruments	1.1662745504341663e-05	piano	1940
instruments	9.124738583786632e-06	piano	1950
instruments	7.35323617386096e-06	piano	1960
instruments	7.71648273722188e-06	piano	1970
instruments	8.42914810369628e-06	piano	1980
instruments	7.832711688501831e-06	piano	1990
instruments	1.8267526353582673e-07	viola	1800
instruments	2.201078374788637e-07	viola	1810
instruments	1.0203598107044805e-07	viola	1820
instruments	1.6241015745606763e-07	viola	1830
instruments	9.395722247347829e-08	viola	1840
instruments	1.1938127411541381e-07	viola	1850
instruments	1.2900110327027898e-07	viola	1860
instruments	2.6650484277676023e-07	viola	1870
instruments	4.3666030353413896e-07	viola	1880
instruments	3.996474468247139e-07	viola	1890
instruments	6.421742658976784e-07	viola	1900
instruments	4.693038403292316e-07	viola	1910
instruments	1.0092629935014284e-06	viola	1920
instruments	6.954481810271226e-07	viola	1930
instruments	8.84981215252574e-07	viola	1940
instruments	7.688813054370183e-07	viola	1950
instruments	7.367294677017729e-07	viola	1960
instruments	7.550853097302684e-07	viola	1970
instruments	6.70664223707849e-07	viola	1980
instruments	5.510438256462446e-07	viola	1990
instruments	0.0	bongo	1800
instruments	0.0	bongo	1810
instruments	0.0	bongo	1820
instruments	0.0	bongo	1830
instruments	0.0	bongo	1840
instruments	0.0	bongo	1850
instruments	6.216920639531518e-09	bongo	1860
instruments	7.280132290487108e-09	bongo	1870
instruments	1.665146962781598e-08	bongo	1880
instruments	3.8194362227300385e-08	bongo	1890
instruments	7.538997347913469e-09	bongo	1900
instruments	6.30515083190418e-09	bongo	1910
instruments	4.63602661231708e-09	bongo	1920
instruments	0.0	bongo	1930
instruments	5.118456999725704e-09	bongo	1940
instruments	4.876385860441267e-09	bongo	1950
instruments	5.815108123936276e-09	bongo	1960
instruments	9.751930093886083e-09	bongo	1970
instruments	1.068836553628556e-08	bongo	1980
instruments	9.31645070479358e-09	bongo	1990
instruments	1.1131773871714441e-06	flute	1800
instruments	1.1189582532921314e-06	flute	1810
instruments	1.2947232264716852e-06	flute	1820
instruments	1.2769721720858943e-06	flute	1830
instruments	1.2619177726053315e-06	flute	1840
instruments	1.397508651631842e-06	flute	1850
instruments	1.4911284153916344e-06	flute	1860
