table	categories	attribute(s)	effect_size	loocv_effect_sizes	missing
vectors1810	good vs. bad	indian	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1820	good vs. bad	indian	-0.22514268209661517	[-0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.06576708214998736, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.20401591801557042, -0.20401591801557042, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506, -0.22514268209661506]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1830	good vs. bad	indian	-0.21255220605915326	[-0.21255220605915315, -0.21255220605915315, -0.21255220605915315, -0.21255220605915315, -0.17801228867340288, -0.21255220605915315, -0.21255220605915315, -0.21255220605915315, -0.21255220605915315, -0.21255220605915315, -0.25052681156153717, -0.25052681156153717, -0.21255220605915315, -0.21255220605915315, -0.21255220605915315, -0.21255220605915315, 0.025798852020495085, -0.21255220605915315, -0.21255220605915315]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1840	good vs. bad	indian	0.017114439517830156	[0.017114439517830052, 0.017114439517830052, 0.017114439517830052, 0.017114439517830052, -0.1472081890955538, 0.017114439517830052, 0.017114439517830052, 0.017114439517830052, 0.017114439517830052, 0.017114439517830052, -0.05540711982030249, -0.05540711982030249, 0.017114439517830052, 0.017114439517830052, 0.017114439517830052, 0.017114439517830052, 0.017114439517830052, 0.3829651582148002, 0.017114439517830052]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1850	good vs. bad	indian	-0.30821490694262343	[-0.30821490694262355, -0.30821490694262355, -0.30821490694262355, -0.30821490694262355, -0.32732284185920285, -0.30821490694262355, -0.30821490694262355, -0.30821490694262355, -0.30821490694262355, -0.30821490694262355, -0.3638328202699108, -0.3638328202699108, -0.30821490694262355, -0.30821490694262355, -0.30821490694262355, -0.30821490694262355, -0.19988109350341604, -0.20068845643311134, -0.30821490694262355]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1860	good vs. bad	indian	-0.311420174496602	[-0.31142017449660186, -0.31142017449660186, -0.31142017449660186, -0.31142017449660186, -0.2631188582940695, -0.31142017449660186, -0.31142017449660186, -0.31142017449660186, -0.31142017449660186, -0.31142017449660186, -0.32203453190941306, -0.32203453190941306, -0.31142017449660186, -0.31142017449660186, -0.31142017449660186, -0.31142017449660186, -0.2901467479417328, -0.31142017449660186, -0.31142017449660186]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1870	good vs. bad	indian	-0.351648563802721	[-0.3516485638027208, -0.3516485638027208, -0.3484879728241243, -0.3516485638027208, -0.34603610252092726, -0.3516485638027208, -0.3516485638027208, -0.3516485638027208, -0.3516485638027208, -0.3516485638027208, -0.3681856905307763, -0.3681856905307763, -0.3516485638027208, -0.3516485638027208, -0.3516485638027208, -0.3516485638027208, -0.3516485638027208, -0.29990342167701795, -0.3516485638027208]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1880	good vs. bad	indian	-0.3234510497597523	[-0.32345104975975225, -0.32345104975975225, -0.32345104975975225, -0.32345104975975225, -0.41435611374852216, -0.32345104975975225, -0.32345104975975225, -0.32345104975975225, -0.32345104975975225, -0.32345104975975225, -0.3535010540948168, -0.3535010540948168, -0.32345104975975225, -0.32345104975975225, -0.32345104975975225, -0.32345104975975225, -0.32345104975975225, 0.03129329279539659, -0.32345104975975225]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1890	good vs. bad	indian	-0.3413601640047476	[-0.34136016400474745, -0.34136016400474745, -0.34136016400474745, -0.34136016400474745, -0.3730245480496562, -0.34136016400474745, -0.34136016400474745, -0.34136016400474745, -0.34136016400474745, -0.34136016400474745, -0.34370035097361673, -0.34370035097361673, -0.34136016400474745, -0.34136016400474745, -0.34136016400474745, -0.34136016400474745, -0.2613893820947652, -0.32839695990777573, -0.34136016400474745]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1900	good vs. bad	indian	-0.21405244921490496	[-0.2140524492149052, -0.2140524492149052, -0.2140524492149052, -0.2140524492149052, -0.2507965214276476, -0.2140524492149052, -0.2140524492149052, -0.2140524492149052, -0.2140524492149052, -0.2140524492149052, -0.222420045430086, -0.222420045430086, -0.2140524492149052, -0.2140524492149052, -0.2140524492149052, -0.2140524492149052, -0.1700243925584643, -0.1539665848005884, -0.2140524492149052]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1910	good vs. bad	indian	-0.21726688893812254	[-0.2172668889381227, -0.2172668889381227, -0.2172668889381227, -0.2172668889381227, -0.27372439151840466, -0.2172668889381227, -0.2172668889381227, -0.2172668889381227, -0.2172668889381227, -0.2172668889381227, -0.21943382388560237, -0.21943382388560237, -0.2172668889381227, -0.2172668889381227, -0.2172668889381227, -0.2172668889381227, -0.2554626019170325, -0.07592852403065323, -0.2172668889381227]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1920	good vs. bad	indian	-0.2704244274571739	[-0.27042442745717404, -0.2688144378655835, -0.34039183150595664, -0.27042442745717404, -0.2688081917113658, -0.27042442745717404, -0.27042442745717404, -0.27042442745717404, -0.27042442745717404, -0.27042442745717404, -0.2577447052216994, -0.2577447052216994, -0.27042442745717404, -0.27042442745717404, -0.27042442745717404, -0.27042442745717404, -0.25567044641886866, -0.2454676814605032, -0.27042442745717404]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1930	good vs. bad	indian	-0.08628253713059415	[-0.08628253713059461, -0.08628253713059461, -0.09935200476968786, -0.08628253713059461, -0.10741966039183803, -0.08628253713059461, -0.08628253713059461, -0.08628253713059461, -0.08628253713059461, -0.08628253713059461, -0.09865728434865792, -0.09865728434865792, -0.08628253713059461, -0.08628253713059461, -0.08628253713059461, -0.08628253713059461, -0.062206381258453, -0.03527558231217879, -0.08628253713059461]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1940	good vs. bad	indian	-0.036569023040201105	[-0.03656902304020133, -0.06540186359519114, -0.06340842376666213, -0.03656902304020133, -0.06528966637079305, -0.03656902304020133, -0.03656902304020133, -0.03656902304020133, -0.03656902304020133, -0.03656902304020133, -0.04384431629785345, -0.04384431629785345, -0.03656902304020133, -0.03656902304020133, -0.03656902304020133, -0.03656902304020133, 0.030398302492887146, -0.006422802862043479, -0.03656902304020133]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1950	good vs. bad	indian	-0.012251881235450268	[-0.012251881235450185, -0.03429847642768786, -0.012251881235450185, -0.012251881235450185, -0.02028240230322916, -0.012251881235450185, -0.012251881235450185, -0.012251881235450185, -0.007535763997171757, -0.012251881235450185, -0.026184957917467763, -0.026184957917467763, -0.012251881235450185, -0.00041380276026638317, -0.012251881235450185, -0.012251881235450185, 0.028989325150013356, -0.012635620068170464, -0.012251881235450185]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1960	good vs. bad	indian	0.1551928174628427	[0.1551928174628423, 0.15247178493809627, 0.1551928174628423, 0.1551928174628423, 0.17022227365865705, 0.1551928174628423, 0.1551928174628423, 0.1551928174628423, 0.1569826297943522, 0.1551928174628423, 0.1441086074939686, 0.1441086074939686, 0.1551928174628423, 0.12539103991413575, 0.1551928174628423, 0.1551928174628423, 0.19105978029060278, 0.15049369231095397, 0.1551928174628423]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
vectors1970	good vs. bad	indian	0.11471746458462401	[0.11471746458462417, 0.1065197832607771, 0.11471746458462417, 0.11471746458462417, 0.10760339133974128, 0.11471746458462417, 0.11471746458462417, 0.11471746458462417, 0.11491007029505444, 0.11471746458462417, 0.10488056553419883, 0.10488056553419883, 0.11471746458462417, 0.08916188601857702, 0.11471746458462417, 0.11471746458462417, 0.15316131427814114, 0.13229563515822107, 0.11471746458462417]	['bangladeshi', 'bengali', 'gujarati', 'rupee', 'tamil', 'malayalam', 'kannada', 'bihar', 'haryana', 'pradesh', 'punjabi', 'telugu', 'nepalese', 'nepali', 'bhutan', 'maldives', 'dravidian', 'indoaryan', 'assamese', 'assam', 'bhojpuri', 'haryanvi', 'odia', 'nagpuri', 'kashmiri', 'kannadiga', 'yucky', 'unthankful']
